Document Title,Abstract,Year,PDF Link,label
Aspergillus infections in allogeneic stem cell transplant recipients: have we made any progress?,"Invasive aspergillosis (IA) is common in allogeneic SCT recipients, with an incidence of 4-10%. The majority of these infections are diagnosed several months after SCT and they are frequently associated with GVHD. The diagnosis is difficult and often delayed. Established IA is notoriously difficult to treat with a death rate of 80-90%. This review summarises recent data on this problem to assess whether there has been any progress. Effective prophylactic measures are still lacking. Severe immunosuppression is the main obstacle to the success of therapy. Recent and ongoing developments in diagnostic measures and new antifungal agents may improve treatment results to some extent, but Aspergillus infections still remain a formidable problem in allogeneic transplantation. Further studies in this field will focus on the role of various cytokines and combinations of antifungal agents.",2002,12476286,no
Aspergillus antigens associated with allergic bronchopulmonary aspergillosis.,"Among the molds causing allergy, Aspergillus fumigatus (Af) constituted a major species present both indoors and outdoors. The antigens both secreted and bound to hyphae and conidia have been isolated for immunodiagnosis of allergic aspergillosis. The crude extracts have been used to demonstrate IgE antibody in vitro and for skin testing. The crude extracts contain many antigenic and non-antigenic components and toxins and have demonstrated inconsistent reactivities. In addition, similarity with other allergens also may complicate specific diagnosis. A number of methods including conventional purification and fractionation methods have been used to obtain relevant antigens. In recent years, monoclonal antibody dependent affinity purification and molecular biology methods have obtained considerable progress in the allergen purification and in developing specific and reliable immunoassays. However, international standards are still lacking and hence, comparison of results among laboratories are not possible yet.",2002,12456371,no
Pathology of allergic bronchopulmonary aspergillosis.,"Allergic bronchopulmonary aspergillosis (ABPA) occurs in patients with asthma and cystic fibrosis when Aspergillus fumigatus spores are inhaled and grow in bronchial mucus as hyphae. Chronic colonization of Aspergillus fumigatus and host's genetically determined immunological response lead to ABPA. In most cases, lung biopsy is not necessary because the diagnosis is made on clinical, serologic, and roentgenographic findings. Some patients who have had lung biopsies or partial resections for atelectasis or infiltrates will have histologic diagnoses. A number of different histologic diagnoses can be found even in the same patient. In the early stages the bronchial wall is infiltrated with mononuclear cells and eosinophils. Mucoid impaction and eosinophilic pneumonia are seen subsequently. This may be followed by bronchiolitis obliterans, granulomatous bronchiolitis, and pulmonary fibrosis. Treatment with corticosteroids appears to prevent the progression of the disease.",2002,12456336,no
Post-harvest storage of corn: effect of beginning moisture content on mycoflora and fumonisin contamination.,"The effect of storage on mycoflora profile was monitored bimonthly in 36 corn (Zea mays L.) samples, dividing the same sample into groups dried to 11 and 14% moisture content (1008 analysis). These groups were further subdivided based on the initial total count (moulds and yeasts) up to 10(4) CFU g(-1) (12 samples, range 1.6 x 10(4) to 9.0 x 10(4), mean 3.8 x 10(4) CFU g(-1)) and up to 10(5) CFU g(-1) (24 samples, range 1.0 x 10(5) to 5.0 x 10(5), mean 2.7 x 10(5) CFU g(-1)). In the corn group dried to 11%, the fumonisin content was analysed at the initial stage (freshly harvested) and at the end of 12-month storage. Fusarium spp. and Penicillium spp. prevailed at the freshly harvested stage (100%), maintaining this profile throughout 12 months, in corn dried to both 11 and 14%. Cladosporium spp., Aspergillus spp. and Phoma spp. were also detected at lower frequencies during the storage. Fusarium spp. and the total fungal colony count during 12-month storage carried out with samples dried to 11 or 14% moisture content were statistically evaluated using ANOVA for randomized complete block design. The correlation between storage time and Fusarium spp. and total fungal colony count data was analysed by Pearson's correlation test. There was no difference in Fusarium spp. and total counts in the 10(4) CFU g(-1) initial total count group throughout the storage time (p < 0.05). There was a negative correlation between fungal population and storage time (p < 0.05) in the 10(5) CFU g(-1) initial total count group. Fumonisins were detected in all freshly harvested corn, at a mean concentration of 9.9 +/- 6.0 micro g g(-1) (range 0.74-22.6 micro g g(-)1). These values did not change in the 12-month stored corn (mean of 9.9 +/- 5.8 micro g g(-1), range 0.81-23.7 micro g g(-1)). These post harvest data indicated the importance of moisture content at the crop harvesting/predrying stage to control fungal growth and further fumonisin production.",2002,12456280,no
Spores of Aspergillus versicolor isolated from indoor air of a moisture-damaged building provoke acute inflammation in mouse lungs.,"Microbial growth in moisture-damaged buildings has been associated with respiratory health effects, and the spores of the mycotoxin producing fungus Aspergillus versicolor are frequently present in the indoor air. To characterize the potential of these spores to cause harmful respiratory effects, mice were exposed via intratracheal instillation to a single dose of the spores of A. versicolor (1 x 10(5), 1 x 10(6), 5 x 10(6), 1 x 10(7), or 1 x 10(8) spores), isolated from the indoor air of a moisture-damaged building. Inflammation and toxicity in lungs were evaluated 24 h later by assessment of biochemical markers and histopathology. The time course of the effects was investigated with the dose of 5 x 10(6) spores for up to 28 days. The exposure to the spores increased transiently proinflammatory cytokine levels (tumor necrosis factor [TNF] alpha and interleukin [IL]-6) in bronchoalveolar lavage fluid (BALF). The cytokine responses were dose and time dependent. The highest cytokine concentrations were measured at 6 h after the dose, and they returned to the control level by 3 days. Moreover, the spores of A. versicolor recruited inflammatory cells into airways: Neutrophils peaked transiently at 24 h, macrophages at 3 days, and lymphocytes at 7 days after the dosing. The inflammatory cell response did not completely disappear during the subsequent 28 days, though no histopathological changes were seen at that time point. The spores did not induce expression of inducible nitric oxide synthase in lavaged cells. Only the highest spore dose (1 x 10(8)) markedly increased serum IL-6, increased vascular leakage, and caused cytotoxicity (i.e., increased levels of albumin, total protein, lactate dehydrogenase [LDH], and hemoglobin in BALF) in the airways. In summary, the spores of A. versicolor caused acute inflammation in mouse lungs. This indicates that they have potential to provoke adverse health effects in the occupants of moisture-damaged buildings.",2002,12454790,no
The prospective evaluation of a nested polymerase chain reaction assay for the early detection of Aspergillus infection in patients with leukaemia or undergoing allograft treatment.,"Patients with acute leukaemia or undergoing allogenic bone marrow transplantation at University College London Hospital Trust were screened for the presence of aspergillosis by polymerase chain reaction (PCR). Aspergillus DNA, from whole blood samples, was amplified by nested PCR to detect a 135 bp fragment in the mitochondrial region of Aspergillus fumigatus or A. flavus (121 bp). One colony-forming unit (CFU) per 2 ml of blood or 1-10 fg DNA could be detected. Patients at risk of aspergillosis were classified as probable or possible based on the European Organization for Research and Treatment of Cancer definitions. Antifungal drugs given were recorded. In four of 17 patients studied, infection was not suspected and the PCR was negative. Four patients were considered to have possible aspergillosis infection and were PCR positive on at least one occasion. Of the three patients in the probable group, four of the nine samples tested PCR positive from one patient and in another patient only one of nine samples tested positive. The remaining six patients were not suspected of having fungal infection but each had one or two PCR-positive results. In summary, six of seven patients thought to have clinical evidence of infection were PCR positive on at least one occasion and treatment with antifungals may have reduced infection below detectable levels.",2002,12437651,no
Clinical manifestations and diagnosis of invasive aspergillosis in immunocompromised children.,"Invasive aspergillosis (IA) is a serious life-threatening complication in immunocompromised children. The commonest risk groups are children with acquired immunodeficiency syndrome, leukaemia, corticosteroid and other immunosuppressive therapy, chronic granulomatous disease and severe combined immunodeficiency as well as neonates. The clinical manifestations are heterogeneous and many organ systems can be involved. Diagnosis based on the clinical presentation alone is cumbersome. Innovative and sensitive laboratory test systems which detect fungal antigens or DNA in clinical specimens have been recently developed. Specific Aspergillus antibody detection using recombinant antigen technique has also been introduced. Although each individual technique has drawbacks, the combined use of culture with antigen and antibody ELISA as well as PCR should result in an earlier and more definitive diagnosis of IA in children presenting with clinical and/or radiological signs of aspergillosis. In high risk children these methods are valuable for serial screening and early detection of Aspergillus infection. The implementation of accurate diagnostic criteria and standardised diagnostic flow charts in children at risk will lead to a better outcome of IA in the future.definite, well-timed early diagnosis and sufficient therapy is elementary for a successful outcome of invasive aspergillosis in immunocompromised children. To date, the diagnosis of invasive aspergillosis remains a combination of clinical presentation, radiology and microbiological tests.",2002,12424579,no
Invasive aspergillosis in cancer.,"Ten confirmed cases of invasive aspergillosis (IA) in cancer patients were analysed retrospectively. Eight were pulmonary, one was sinonasal and one was cutaneous. The majority of patients had haematological malignancies (7), the remaining three were cases of solid tumours. Fever was present in all 10 cases. Cough and lung signs were present in all eight cases of invasive pulmonary aspergillosis. Haemoptysis was encountered in three of nine cases of pulmonary and sinonasal aspergillosis. Mortality was low (2%). While corticosteroids, antibiotics and anticancer chemotherapy/radiotherapy were factors predisposing the patients to IA, neutropenia was perhaps responsible for their mortality. Seven of the patients had other associated pathogens isolated in culture in addition to Aspergillus spp. Aspergillus fumigatus was the predominant species, followed by A. flavus, A. glaucus, A. nidulans and A. niger. Direct microscopic examination (in six of seven cases) and culture (six of seven cases) correlated well with radiographic and clinical findings in cases with lung involvement. Serology for anti-Aspergillus antibodies performed by gel diffusion precipitin test was positive in one case of sinonasal aspergillosis, wherein only one precipitin band was observed. Correlation of clinical symptoms, consistent radiographic findings and microbiological work-up (the latter including a triad of direct microscopy, culture and serology) are required to arrive at a diagnosis of IA, especially where histology cannot form the mainstay of diagnosis.",2002,12421281,no
Expression in bacteria of the gene encoding the gp43 antigen of paracoccidioides brasiliensis: immunological reactivity of the recombinant fusion proteins.,"gp43 is the major diagnostic antigen of Paracoccidioides brasiliensis, the agent of paracoccidioidomycosis (PCM) in humans. In the present study, cDNA of the gp43 gene (PbGP43) was obtained by reverse transcriptase PCR, inserted into a pGEX vector in frame with the glutathione S-transferase (GST) gene, and expressed in Escherichia coli as inclusion bodies. Immunoblotting showed that all sera from patients with chronic pulmonary and acute lymphatic forms of PCM reacted with the recombinant fusion protein of the mature gp43 (381 amino acids). Reactivity with fusion proteins containing subfragments of the N-terminal, internal, or C-terminal regions occurred eventually, and the C-terminal region was the most antigenic. Lack of reactivity with the subfragments may be due to the conformational nature of the gp43 epitopes. Sera from patients with aspergillosis, candidiasis, and histoplasmosis did not react with the gp43-GST fusion protein. Our results suggest that recombinant gp43 corresponding to the processed antigen can be a useful tool in the diagnosis of PCM.",2002,12414750,no
Detection of cell wall galactomannoprotein Afmp1p in culture supernatants of Aspergillus fumigatus and in sera of aspergillosis patients.,"Mannoproteins are important and abundant structural components of fungal cell walls. The AFMP1 gene encodes a cell wall galactomannoprotein of Aspergillus fumigatus. In the present study, we show that Afmp1p is secreted into the cell culture supernatant at a level that can be detected by Western blotting. A sensitive enzyme-linked immunosorbent assay (ELISA) developed with antibodies against Afmp1p was capable of detecting this protein from the cell culture supernatant of A. fumigatus. The anti-Afmp1p antibody is specific since it fails to react with any protein from lysates of Aspergillus flavus, Aspergillus niger, Aspergillus terreus, Penicillium marneffei, Candida albicans, Cryptococcus neoformans, Blastomyces dermatitidis, and Histoplasma capsulatum by Western blotting. In addition, this Afmp1p antigen-based ELISA is also specific for A. fumigatus since the cell culture supernatants of the other eight fungi gave negative results. Finally, a clinical evaluation of sera from invasive aspergillosis patients indicates that 8 of 15 (53%) patients are Afmp1p antigen test positive. Furthermore, an Afmp1p antibody test was performed with these serum specimens. The combined antibody and antigen tests for invasive aspergillosis carry a sensitivity of 86.7% (13 of 15). The specificities of the tests are high since none of the 138 control sera, including 100 from normal blood donors, 20 from patients with penicilliosis marneffei, 6 from patients with candidemia, 8 from patients with typhoid fever, and 4 from patients with melioidosis, was positive by either test. In conclusion, the combined Afmp1p antibody and antigen tests are highly sensitive and specific for A. fumigatus invasive aspergillosis.",2002,12409437,no
Function of native OmtA in vivo and expression and distribution of this protein in colonies of Aspergillus parasiticus.,"The activities of two enzymes, a 168-kDa protein and a 40-kDa protein, OmtA, purified from the filamentous fungus Aspergillus parasiticus were reported to convert the aflatoxin pathway intermediate sterigmatocystin to O-methylsterigmatocystin in vitro. Our initial goal was to determine if OmtA is necessary and sufficient to catalyze this reaction in vivo and if this reaction is necessary for aflatoxin synthesis. We generated A. parasiticus omtA-null mutant LW1432 and a maltose binding protein-OmtA fusion protein expressed in Escherichia coli. Enzyme activity analysis of OmtA fusion protein in vitro confirmed the reported catalytic function of OmtA. Feeding studies conducted with LW1432 demonstrated a critical role for OmtA, and the reaction catalyzed by this enzyme in aflatoxin synthesis in vivo. Because of a close regulatory link between aflatoxin synthesis and asexual sporulation (conidiation), we hypothesized a spatial and temporal association between OmtA expression and conidiospore development. We developed a novel time-dependent colony fractionation protocol to analyze the accumulation and distribution of OmtA in fungal colonies grown on a solid medium that supports both toxin synthesis and conidiation. OmtA-specific polyclonal antibodies were purified by affinity chromatography using an LW1432 protein extract. OmtA was not detected in 24-h-old colonies but was detected in 48-h-old colonies using Western blot analysis the protein accumulated in all fractions of a 72-h-old colony, including cells (0 to 24 h) in which little conidiophore development was observed. OmtA in older fractions of the colony (24 to 72 h) was partly degraded. Fluorescence-based immunohistochemical analysis conducted on thin sections of paraffin-embedded fungal cells from time-fractionated fungal colonies demonstrated that OmtA is evenly distributed among different cell types and is not concentrated in conidiophores. These data suggest that OmtA is present in newly formed fungal tissue and then is proteolytically cleaved as cells in that section of the colony age.",2002,12406770,no
Use of circulating galactomannan screening for early diagnosis of invasive aspergillosis in allogeneic stem cell transplant recipients.,"Screening for galactomannan (GM) has been adopted by many European centers as part of the management plan for allogeneic stem cell transplant recipients. However, the temporal onset of GM antigenemia remains unknown. A series of allogeneic stem cell transplant recipients were monitored prospectively, and the relationship between antigenemia and other diagnostic triggers for initiation of antifungal therapy was analyzed. GM detection had a sensitivity of 94.4% and a specificity of 98.8%. Positive and negative predictive values were 94.4% and 98.8%, respectively. This statistical profile was better than that of other triggers, including unexplained fever, new pulmonary infiltrates, isolation of Aspergillus species, and abnormalities seen on computed tomography. Antigenemia preceded diagnosis on the basis of radiologic examination or Aspergillus isolation by 8 and 9 days in 80% and 88.8% of patients, respectively. Antigenemia preceded therapy in 83.3% of patients. Detection of GM was especially useful when patients were receiving steroid treatment or when coexisting conditions masked the diagnosis of invasive aspergillosis. Prospective screening for GM allows earlier diagnosis of aspergillosis than do conventional diagnostic criteria.",2002,12402199,yes
"[Advances in serological systems for diagnosis of systemic fungal infections, particularly those caused by Candida and Aspergillus].","Invasive fungal infections have emerged as important causes of morbidity and mortality in neutropenicand some other immunocompromised hosts Candida and Aspergillus are among the major pathogens in this patient population. The clinical diagnosis of these infections is not specific and the traditional mycological methods for them not sensitive, with limits in the early detection of the pathogen. The potential additives or complements to the laboratory diagnosis of invasive candidiasis and aspergillosis are two non-culture-based methods, serodiagnostic methods and molecular ones. The former methods include the detection of pathogen-specific antigens, antibodies, metabolites and cell wall components. Several have already become standard laboratory tools and some others are under active investigation for developing new, more accurate detection systems. In this review, I will discuss the current status and future potential of serodiagnostic methods, highlighting both their technical and clinical implications.",2002,12402023,no
Phosphorylation of the mitotic regulator protein Hec1 by Nek2 kinase is essential for faithful chromosome segregation.,"Hec1 (highly expressed in cancer) plays essential roles in chromosome segregation by interacting through its coiled-coil domains with several proteins that modulate the G(2)/M phase. Hec1 localizes to kinetochores, and its inactivation either by genetic deletion or antibody neutralization leads to severe and lethal chromosomal segregation errors, indicating that Hec1 plays a critical role in chromosome segregation. The mechanisms by which Hec1 is regulated, however, are not known. Here we show that human Hec1 is a serine phosphoprotein and that it binds specifically to the mitotic regulatory kinase Nek2 during G(2)/M. Nek2 phosphorylates Hec1 on serine residue 165, both in vitro and in vivo. Yeast cells are viable without scNek2/Kin3, a close structural homolog of Nek2 that binds to both human and yeast Hec1. When the same yeasts carry an scNek2/Kin3 (D55G) or Nek2 (E38G) mutation to mimic a similar temperature-sensitive nima mutation in Aspergillus, their growth is arrested at the nonpermissive temperature, because the scNek2/Kin3 (D55G) mutant binds to Hec1 but fails to phosphorylate it. Whereas wild-type human Hec1 rescues lethality resulting from deletion of Hec1 in Saccharomyces cerevesiae, a human Hec1 mutant or yeast Hec1 mutant changing Ser(165) to Ala or yeast Hec1 mutant changing Ser(201) to Ala does not. Mutations changing the same Ser residues to Glu, to mimic the negative charge created by phosphorylation, partially rescue lethality but result in a high incidence of errors in chromosomal segregation. These results suggest that cell cycle-regulated serine phosphorylation of Hec1 by Nek2 is essential for faithful chromosome segregation.",2002,12386167,no
Influence of mannan epitopes in glycoproteins--Concanavalin A interaction. Comparison of natural and synthetic glycosylated proteins.,"Two natural glycoproteins/glycoenzymes, invertase and glucoamylase, and two neoglycoconjugates, synthetized from Saccharomyces cerevisiae mannan, bovine serum albumin and penicillin G acylase were tested for interaction with lectin Concanavalin A (Con A). The interaction of natural and synthetic glycoproteins with Con A was studied using three different experimental methods: (i). quantitative precipitation in solution (ii). sorption to Con A immobilized on bead cellulose and (iii). kinetic measurement of the interaction by surface plasmon resonance. Prepared neoglycoproteins were further characterized: saccharide content, molecular weight, polydispersion, kinetic and equilibrium association constants with Con A were determined. It can be concluded that the used conjugation method proved to be able to produce neoglycoproteins with similar properties like natural glycoproteins, i.e. enzymatic activity (protein part) and lectin binding activity (mannan part) were preserved and the neoglycoconjugates interact with Con A similarly as natural mannan-type glycoproteins.",2002,12297232,no
IgE-mediated allergy to phytase -- a new animal feed additive.,"Although fungal phytase is frequently used as an additive to animal feed few investigations of its allergenic property have been conducted.Fifty-three subjects occupationally exposed to powdered phytase from Aspergillus niger were studied. Exposure data and symptoms were registered by the company physician.Thirty-eight subjects complained of work-related respiratory symptoms and 14 of them showed phytase-specific IgE antibodies only one asymptomatic subject revealed such antibodies. IgE antibodies were significantly more frequently found in the high-exposure group (technical centre) when compared with the low-exposure group (laboratories, experimental animal husbandry). Phytase-specific IgG antibodies were present in 19 symptomatic (50%) and five (33%) asymptomatic subjects.Our results demonstrate that powdered fungal phytase is a highly sensitizing substance whose inhalation exposure should be avoided. Hypersensitivity symptoms could be prevented by means of extensive hygienic measures and ongoing medical surveillance.",2002,12269943,no
Specific characterization of substrate and inhibitor binding sites of a glycosyl hydrolase family 11 xylanase from Aspergillus niger.,"The importance of aromatic and charged residues at the surface of the active site of a family 11 xylanase from Aspergillus niger was evaluated using site-directed mutagenesis. Ten mutant proteins were heterologously produced in Pichia pastoris, and their biochemical properties and kinetic parameters were determined. The specific activity of the Y6A, Y10A, Y89A, Y164A, and W172A mutant enzymes was drastically reduced. The low specific activities of Y6A and Y89A were entirely accounted for by a change in k(cat) and K(m), respectively, whereas the lower values of Y10A, Y164A, and W172A were due to a combination of increased K(m) and decreased k(cat). Tyr(6), Tyr(10), Tyr(89), Tyr(164), and Trp(172) are proposed as substrate-binding residues, a finding consistent with structural sequence alignments of family 11 xylanases and with the three-dimensional structure of the A. niger xylanase in complex with the modeled xylobiose. All other variants, D113A, D113N, N117A, E118A, and E118Q, retained full wild-type activity. Only N117A lost its sensitivity to xylanase inhibitor protein I (XIP-I), a protein inhibitor isolated from wheat, and this mutation did not affect the fold of the xylanase as revealed by circular dichroism. The N117A variant showed kinetics, pH stability, hydrolysis products pattern, substrate specificity, and structural properties identical to that of the wild-type xylanase. The loss of inhibition, as measured in activity assays, was due to abolition of the interaction between XIP-I and the mutant enzyme, as demonstrated by surface plasmon resonance and electrophoretic titration. A close inspection of the three-dimensional structure of A. niger xylanase suggests that the binding site of XIP-I is located at the conserved ""thumb"" hairpin loop of family 11 xylanases.",2002,12207016,no
A review of nucleic acid-based diagnostic tests for systemic mycoses with an emphasis on polymerase chain reaction-based assays.,"Nucleic acid-based assays have good potential to complement and enhance the sensitivity and rapidity of conventional methods used in diagnostic mycology. The majority of molecular tests are polymerase chain reaction (PCR)-based assays focusing mainly on the detection of Candida and Aspergillus spp. from clinical samples. DNA extraction and purification procedures should be standardized and can be facilitated by using commercial extraction kits. In general, protocols that target multi-copy genes provide the greatest sensitivity. Objective endpoint assessments of PCR tests using enzyme-linked immunosorbent assays (ELISA) or commercial quantitative systems are capable of rapidly detecting and identifying Candida and Aspergillus spp. Sequencing of PCR products can be used to confirm the identity of amplicons. In cases of suspected invasive aspergillosis, PCR should be performed on both blood and bronchoalveolar lavage fluid to maximize test sensitivity and the positive predictive value. At least two blood specimens should be tested if PCR is undertaken on blood samples alone. In situ hybridization techniques have been used with success to identify fungi in tissue specimens. The wide application of PCR-based assays relies on the introduction of standardized protocols following their evaluation in multicentre, prospective studies.",2002,12230214,no
Interplay between protective and inhibitory antibodies dictates the outcome of experimentally disseminated Candidiasis in recipients of a Candida albicans vaccine.,"Mice immunized with heat-inactivated, whole yeast-form cells (Y cells) of Candida albicans developed intense, specific humoral and cell-mediated immune responses. However, they were modestly protected against a lethal challenge by the fungus, and their sera did not confer passive protection upon nonimmunized animals. Surprisingly, this immune serum conferred an elevated degree of passive protection to normal and SCID mice when preadsorbed on whole C. albicans cells. After adsorption, no antibodies specific to mannoprotein (MP)-rich extracts or secretions were detected by indirect enzyme-linked immunosorbent assay and no serum reaction with the fungal cell surface was seen in immunofluorescence assays. However, this serum had totally preserved the level of other antibodies, in particular those reacting with beta-1,3 and beta-1,6 glucan (GG). The hypothesis that anti-GG antibodies contributed to the passive protection was suggested by the following circumstantial evidence: (i) mice immunized with C. albicans cells treated with dithiothreitol and protease (YDP cells), which exposed GG on their surfaces and generated anti-GG but not anti-MP antibodies, were substantially protected against a lethal fungus challenge (ii) the sera, and their immunoglobulin fractions, of mice immunized with YDP cells transferred protection to nonimmune animals",2002,12228271,no
Ochratoxin A concentrations in food and feed from a region with Balkan Endemic Nephropathy.,"Balkan Endemic Nephropathy (BEN), a chronic renal disease of unknown aetiology, is found in geographically close areas of Bulgaria, Romania, Serbia, Croatia, Bosnia and Herzegovina, Slovenia, and the former Yugoslav Republic of Macedonia. Ochratoxin A (OTA), a secondary metabolite of Aspergillus and Penicillium species and a natural contaminant of food and feed, is a putative cause of BEN. Some studies have found a geographic covariation between OTA content in food/feed and BEN manifestation others have not. In May 2000, using a competitive direct ELISA assay for OTA (detection limit 1 microg kg(-1)), we investigated OTA contamination in 165 samples of home-produced food (beans, potatoes, corn, wheat, flour) and feed from households in villages from the BEN region (Vratza district) of north-western Bulgaria. Samples were collected from: (a) BEN villages (n = 8), and therein from BEN households (20), and BEN-free households (16) (within-village controls, WVC households)",2002,12227939,no
Long-term evaluation of hypersensitivity pneumonitis: a case study follow-up and literature review.,"This study reports a 3-year follow-up of a classic presentation of hypersensitivity pneumonitis (HP), originally reported elsewhere, after removal of the causative antigens. The literature is reviewed and this case is compared with outcomes of series previously reported. The patient was reevaluated by clinical, serologic, radiographic, and pulmonary function testing 3 years after removal of her home's contaminated humidifier, cleaning of the home, and administration of a course of prednisone. Repeat serologic measurements revealed positive serum precipitins only for Aspergillus flavus and Phoma herbarum, significantly fewer than her original panel, which revealed precipitating antibodies to her humidifier water and 10 other specific antigens. Pulmonary function tests remained stable. Physical exam revealed bibasilar rales. Computed tomography scan revealed pulmonary fibrosis, bronchiectasis, and honeycombing that was compared with 3 years earlier. Although most of the data obtained on reevaluation suggest remission, radiographic findings have not remitted. Long-term follow-up of parameters of HP disease activity do not always reveal consistent findings. This patient appears to be in a category of HP between the classic subacute and chronic stages.",2002,12221897,no
Aspergillus galactomannan antigen levels in allogeneic haematopoietic stem cell transplant recipients given total parenteral nutrition.,False-positive tests for Aspergillus galactomannan have been reported in neutropenic patients. We failed to detect any circulating antigen during the 2 weeks following allogeneic haematopoietic stem cell transplantation of 12 patients who had severe mucositis but were unable to eat.,2002,12220241,no
Development and evaluation of rapid urinary antigen detection tests for diagnosis of penicilliosis marneffei.,"Penicilliosis, caused by the dimorphic fungus Penicillium marneffei, is an important opportunistic systemic fungal infection affecting immunocompromised individuals living in areas where penicilliosis is endemic. We have demonstrated previously that a urinary enzyme-linked immunosorbent assay (ELISA) with purified rabbit polyclonal antibody against killed whole-fission-form arthroconidia of P. marneffei was specific and highly sensitive for the diagnosis of penicilliosis. In this study, a dot blot ELISA and a latex agglutination (LA) test were developed with the same polyclonal antibody and compared with the ELISA for the detection of P. marneffei urinary antigen. Urine specimens from 37 patients with culture-proven penicilliosis and 300 controls (52 healthy subjects and 248 hospitalized patients without penicilliosis) were tested. Antigen was detected in urine from all 37 (100%) penicilliosis patients by the LA test, 35 (94.6%) penicilliosis patients by the dot blot ELISA, and 36 (97.3%) penicilliosis patients by the ELISA. False-positive results were found by the three assays for 2 (0.7%), 8 (2.7%), and 6 (2%) of 300 controls, respectively. The overall sensitivities of the diagnostic tests were as follows: dot blot ELISA, 94.6% ELISA, 97.3%",2002,12202550,no
Regulation of bronchoalveolar macrophage proinflammatory cytokine production by dexamethasone and granulocyte-macrophage colony-stimulating factor after stimulation by Aspergillus conidia or lipopolysaccharide.,"There is substantial evidence that local production of proinflammatory cytokines are very important in host resistance to aspergillosis. Dexamethasone (DEX) down-regulates production of these cytokines by stimulated bronchoalveolar macrophages (BAM) and constitutes a risk factor for aspergillosis. Granulocyte-macrophage colony-stimulating factor (GM-CSF) antagonizes DEX suppression of antifungal activity by BAM. Here we investigated the possibility that GM-CSF could antagonize DEX down-regulation of interleukin (IL)-1alpha and tumour necrosis factor (TNF)-alpha production by stimulated BAM. Control BAM responded to increasing numbers of conidia of Aspergillus fumigatus with increasing production of IL-1 and TNF. DEX (10(-7)M) significantly suppressed IL-1 and TNF production by BAM+conidia. Although GM-CSF did not enhance IL-1 or TNF production by BAM+conidia, GM-CSF significantly antagonized DEX suppression of IL-1 cytokine production. For comparative purposes, lipopolysaccharide (LPS, 1 microg/ml) was used to stimulate BAM in experiments similar to the above. In contrast to the findings with conidia, GM-CSF enhanced the production of IL-1 (5-fold) and TNF (1.5-fold) by LPS treated BAM. DEX suppression of cytokine production by BAM+LPS was modestly but significantly antagonized by GM-CSF. Moreover, differences between regulation of IL-1 and TNF production by BAM+conidia or LPS and peritoneal macrophages (PM)+conidia or LPS were documented. Finally, the anti-inflammatory cytokine IL-10 was minimally produced by BAM + conidia or LPS, but IL-10 was produced by PM + conidia or LPS. In summary, these data indicate that the risk factor for aspergillosis associated with DEX could be lessened in the pulmonary compartment with GM-CSF. On the other hand, desired effects of DEX could be maintained in other compartments.",2002,12200108,no
Glucoamylase: another fungal enzyme associated with baker's asthma.,"Aspergillus-derived enzymes are widely used as dough additives in the baking industry. These enzymes may give rise to immunoglobulin (Ig)E-mediated sensitization and occupational asthma. Glucoamylase (or amyloglucosidase) is an important industrial enzyme obtained from Aspergillus niger and used to provide fermentable sugars for yeast to improve loaf volume and texture.The aim of our study was to investigate the potential allergenic role of glucoamylase in baker's asthma.We report four subjects with work-related allergic respiratory symptoms who were exposed to glucoamylase and other starch-cleaving enzymes used as baking additives. The causative role of glucoamylase in work-related asthma was investigated by immunologic tests and specific inhalation challenges (SIC). Glucoamylase allergenic components were characterized by sodium dodecyl sulfate-polyacrylamide gel electrophoresis and immunoblotting.Skin prick tests to glucoamylase (10 mg/mL) gave a positive response in all patients. Further, a positive skin prick test to alpha-amylase was obtained in the four patients and to hemicellulase in two of them. SIC to glucoamylase elicited isolated early asthmatic responses in the three patients tested, and SIC to alpha-amylase elicited early asthmatic responses in two patients and a dual asthmatic response in another patient. Immunoblotting with glucoamylase showed several IgE-binding bands with molecular masses between 33 and 96 kD. IgE-inhibition assays showed scarce to moderate allergenic cross-reactivity between glucoamylase and alpha-amylase.These bakers had developed IgE-mediated occupational asthma to glucoamylase and alpha-amylase. Fungal glucoamylase is widely used as a baking additive and this enzyme may give rise to allergic respiratory reactions among exposed workers.",2002,12197578,no
